español---muistiinpanot	<h3>Español - muistiinpanot</h3> 	<p><em>Artun selkeät muttei välttämättä luotettavat muistiinpanot, päivittyy kurssin edetessä (ehkä). Mitään vastuuta puuttuvista aksenttimerkeistä jne ei oteta!</em></p> 		exportId1614094829731
kysymykset-ja-sävelkorkeus;;carlos-ja-sinä	<h3>Tunti 1 :: Kysymykset ja sävelkorkeus</h3> <p>Carlos i tu (monotonisesti)<br> <code class="clozee" id="current-clozee">       ???       </code></p> <p>Carlos I tu (“I” with high pitch)<br> <code class="clozee">Carlos, entä sinä?</code></p> 		carlos ja sinä	exportId1614094829731
kysymykset-ja-sävelkorkeus;;carlos-entä-sinä?	<h3>Tunti 1 :: Kysymykset ja sävelkorkeus</h3> <p>Carlos i tu (monotonisesti)<br> <code class="clozee">Carlos ja sinä</code></p> <p>Carlos I tu (“I” with high pitch)<br> <code class="clozee" id="current-clozee">         ???         </code></p> 		carlos, entä sinä?	exportId1614094829731
tervehdykset;;aamulla-/-ennen-päivällistä	<h3>Tunti 1 :: Tervehdykset</h3> <p>Buenos días!<br> <code class="clozee" id="current-clozee">              ???              </code></p> <p>Buenas tardes!<br> <code class="clozee">iltapäivällä / päivällisen jälkeen</code></p> <p>Buenas noches!<br> <code class="clozee">illalla / illallisen jälkeen / hyvää yötä</code></p> 		aamulla / ennen päivällistä	exportId1614094829731
tervehdykset;;iltapäivällä-/-päivällisen-jälkeen	<h3>Tunti 1 :: Tervehdykset</h3> <p>Buenos días!<br> <code class="clozee">aamulla / ennen päivällistä</code></p> <p>Buenas tardes!<br> <code class="clozee" id="current-clozee">                 ???                 </code></p> <p>Buenas noches!<br> <code class="clozee">illalla / illallisen jälkeen / hyvää yötä</code></p> 		iltapäivällä / päivällisen jälkeen	exportId1614094829731
tervehdykset;;illalla-/-illallisen-jälkeen-/-hyvää-yötä	<h3>Tunti 1 :: Tervehdykset</h3> <p>Buenos días!<br> <code class="clozee">aamulla / ennen päivällistä</code></p> <p>Buenas tardes!<br> <code class="clozee">iltapäivällä / päivällisen jälkeen</code></p> <p>Buenas noches!<br> <code class="clozee" id="current-clozee">                     ???                     </code></p> 		illalla / illallisen jälkeen / hyvää yötä	exportId1614094829731
esimerkkitervehdykset;;what's-up?	<h3>Tunti 1 :: Tervehdykset :: Esimerkkitervehdykset</h3> <p>Que tal? <code class="clozee" id="current-clozee">     ???     </code><br> Cómo estás? <code class="clozee">How are you?</code><br> Cómo te llamas? <code class="clozee">What's your name?</code></p> 		what's up?	exportId1614094829731
esimerkkitervehdykset;;how-are-you?	<h3>Tunti 1 :: Tervehdykset :: Esimerkkitervehdykset</h3> <p>Que tal? <code class="clozee">What's up?</code><br> Cómo estás? <code class="clozee" id="current-clozee">      ???      </code><br> Cómo te llamas? <code class="clozee">What's your name?</code></p> 		how are you?	exportId1614094829731
esimerkkitervehdykset;;what's-your-name?	<h3>Tunti 1 :: Tervehdykset :: Esimerkkitervehdykset</h3> <p>Que tal? <code class="clozee">What's up?</code><br> Cómo estás? <code class="clozee">How are you?</code><br> Cómo te llamas? <code class="clozee" id="current-clozee">         ???         </code></p> 		what's your name?	exportId1614094829731
määräiset-artikkelit;;el	<h3>Tunti 1 :: Määräiset artikkelit</h3> <table> <thead> <tr> <th></th> <th>Yksikkö</th> <th>Monikko</th> </tr> </thead> <tbody> <tr> <td>Maskuliini</td> <td><code class="clozee" id="current-clozee"> ??? </code></td> <td><code class="clozee">Los</code></td> </tr> <tr> <td>Feminiini</td> <td><code class="clozee">La</code></td> <td><code class="clozee">Las</code></td> </tr> </tbody> </table> 		el	exportId1614094829731
määräiset-artikkelit;;los	<h3>Tunti 1 :: Määräiset artikkelit</h3> <table> <thead> <tr> <th></th> <th>Yksikkö</th> <th>Monikko</th> </tr> </thead> <tbody> <tr> <td>Maskuliini</td> <td><code class="clozee">El</code></td> <td><code class="clozee" id="current-clozee">  ???  </code></td> </tr> <tr> <td>Feminiini</td> <td><code class="clozee">La</code></td> <td><code class="clozee">Las</code></td> </tr> </tbody> </table> 		los	exportId1614094829731
määräiset-artikkelit;;la	<h3>Tunti 1 :: Määräiset artikkelit</h3> <table> <thead> <tr> <th></th> <th>Yksikkö</th> <th>Monikko</th> </tr> </thead> <tbody> <tr> <td>Maskuliini</td> <td><code class="clozee">El</code></td> <td><code class="clozee">Los</code></td> </tr> <tr> <td>Feminiini</td> <td><code class="clozee" id="current-clozee"> ??? </code></td> <td><code class="clozee">Las</code></td> </tr> </tbody> </table> 		la	exportId1614094829731
määräiset-artikkelit;;las	<h3>Tunti 1 :: Määräiset artikkelit</h3> <table> <thead> <tr> <th></th> <th>Yksikkö</th> <th>Monikko</th> </tr> </thead> <tbody> <tr> <td>Maskuliini</td> <td><code class="clozee">El</code></td> <td><code class="clozee">Los</code></td> </tr> <tr> <td>Feminiini</td> <td><code class="clozee">La</code></td> <td><code class="clozee" id="current-clozee">  ???  </code></td> </tr> </tbody> </table> 		las	exportId1614094829731
paikka-ja-sijainti;;in-at	<h3>Tunti 1 :: Paikka ja sijainti (en, a, de)</h3> <table> <thead> <tr> <th>en</th> <th><code class="clozee" id="current-clozee">                ???                </code></th> </tr> </thead> <tbody> <tr> <td>a</td> <td><code class="clozee">to (jonnekin, -lle)</code></td> </tr> <tr> <td>de</td> <td><code class="clozee">from (-sta, -stä)</code></td> </tr> </tbody> </table> 		in, at (-ssa, -ssä, -lla, -llä)	exportId1614094829731
paikka-ja-sijainti;;to	<h3>Tunti 1 :: Paikka ja sijainti (en, a, de)</h3> <table> <thead> <tr> <th>en</th> <th><code class="clozee">in, at (-ssa, -ssä, -lla, -llä)</code></th> </tr> </thead> <tbody> <tr> <td>a</td> <td><code class="clozee" id="current-clozee">          ???          </code></td> </tr> <tr> <td>de</td> <td><code class="clozee">from (-sta, -stä)</code></td> </tr> </tbody> </table> 		to (jonnekin, -lle)	exportId1614094829731
