español---muistiinpanot	<h3>Español - muistiinpanot</h3> 	<p><em>Artun selkeät muttei välttämättä luotettavat muistiinpanot, päivittyy kurssin edetessä (ehkä). Mitään vastuuta puuttuvista aksenttimerkeistä jne ei oteta!</em></p> 		exportId1613517773345
kysymykset-ja-sävelkorkeus;;carlos-ja-sinä	<h3>Tunti 1 :: Kysymykset ja sävelkorkeus</h3> <p>Carlos i tu (monotonisesti)<br> <code class="clozee" id="current-clozee">       ???       </code></p> <p>Carlos I tu (“I” with high pitch)<br> <code class="clozee">Carlos, entä sinä?</code></p> 		carlos ja sinä	exportId1613517773345
kysymykset-ja-sävelkorkeus;;carlos-entä-sinä?	<h3>Tunti 1 :: Kysymykset ja sävelkorkeus</h3> <p>Carlos i tu (monotonisesti)<br> <code class="clozee">Carlos ja sinä</code></p> <p>Carlos I tu (“I” with high pitch)<br> <code class="clozee" id="current-clozee">         ???         </code></p> 		carlos, entä sinä?	exportId1613517773345
tervehdykset;;aamulla-/-ennen-päivällistä	<h3>Tunti 1 :: Tervehdykset</h3> <p>Buenos días!<br> <code class="clozee" id="current-clozee">              ???              </code></p> <p>Buenas tardes!<br> <code class="clozee">iltapäivällä / päivällisen jälkeen</code></p> <p>Buenas noches!<br> <code class="clozee">illalla / illallisen jälkeen / hyvää yötä</code></p> 		aamulla / ennen päivällistä	exportId1613517773345
tervehdykset;;iltapäivällä-/-päivällisen-jälkeen	<h3>Tunti 1 :: Tervehdykset</h3> <p>Buenos días!<br> <code class="clozee">aamulla / ennen päivällistä</code></p> <p>Buenas tardes!<br> <code class="clozee" id="current-clozee">                 ???                 </code></p> <p>Buenas noches!<br> <code class="clozee">illalla / illallisen jälkeen / hyvää yötä</code></p> 		iltapäivällä / päivällisen jälkeen	exportId1613517773345
tervehdykset;;illalla-/-illallisen-jälkeen-/-hyvää-yötä	<h3>Tunti 1 :: Tervehdykset</h3> <p>Buenos días!<br> <code class="clozee">aamulla / ennen päivällistä</code></p> <p>Buenas tardes!<br> <code class="clozee">iltapäivällä / päivällisen jälkeen</code></p> <p>Buenas noches!<br> <code class="clozee" id="current-clozee">                     ???                     </code></p> 		illalla / illallisen jälkeen / hyvää yötä	exportId1613517773345
esimerkkitervehdykset;;what's-up?	<h3>Tunti 1 :: Tervehdykset :: Esimerkkitervehdykset</h3> <p>Que tal? <code class="clozee" id="current-clozee">     ???     </code><br> Cómo estás? <code class="clozee">How are you?</code><br> Cómo te llamas? <code class="clozee">What's your name?</code></p> <p>Auto <code class="clozee">El coche</code></p> 		what's up?	exportId1613517773345
esimerkkitervehdykset;;how-are-you?	<h3>Tunti 1 :: Tervehdykset :: Esimerkkitervehdykset</h3> <p>Que tal? <code class="clozee">What's up?</code><br> Cómo estás? <code class="clozee" id="current-clozee">      ???      </code><br> Cómo te llamas? <code class="clozee">What's your name?</code></p> <p>Auto <code class="clozee">El coche</code></p> 		how are you?	exportId1613517773345
esimerkkitervehdykset;;what's-your-name?	<h3>Tunti 1 :: Tervehdykset :: Esimerkkitervehdykset</h3> <p>Que tal? <code class="clozee">What's up?</code><br> Cómo estás? <code class="clozee">How are you?</code><br> Cómo te llamas? <code class="clozee" id="current-clozee">         ???         </code></p> <p>Auto <code class="clozee">El coche</code></p> 		what's your name?	exportId1613517773345
esimerkkitervehdykset;;el-coche	<h3>Tunti 1 :: Tervehdykset :: Esimerkkitervehdykset</h3> <p>Que tal? <code class="clozee">What's up?</code><br> Cómo estás? <code class="clozee">How are you?</code><br> Cómo te llamas? <code class="clozee">What's your name?</code></p> <p>Auto <code class="clozee" id="current-clozee">    ???    </code></p> 		el coche	exportId1613517773345
määräiset-artikkelit;;el	<h3>Tunti 1 :: Määräiset artikkelit</h3> <table> <thead> <tr> <th></th> <th>Yksikkö</th> <th>Monikko</th> </tr> </thead> <tbody> <tr> <td>Maskuliini</td> <td><code class="clozee" id="current-clozee"> ??? </code></td> <td><code class="clozee">Los</code></td> </tr> <tr> <td>Feminiini</td> <td><code class="clozee">La</code></td> <td><code class="clozee">Las</code></td> </tr> </tbody> </table> 		el	exportId1613517773345
määräiset-artikkelit;;los	<h3>Tunti 1 :: Määräiset artikkelit</h3> <table> <thead> <tr> <th></th> <th>Yksikkö</th> <th>Monikko</th> </tr> </thead> <tbody> <tr> <td>Maskuliini</td> <td><code class="clozee">El</code></td> <td><code class="clozee" id="current-clozee">  ???  </code></td> </tr> <tr> <td>Feminiini</td> <td><code class="clozee">La</code></td> <td><code class="clozee">Las</code></td> </tr> </tbody> </table> 		los	exportId1613517773345
määräiset-artikkelit;;la	<h3>Tunti 1 :: Määräiset artikkelit</h3> <table> <thead> <tr> <th></th> <th>Yksikkö</th> <th>Monikko</th> </tr> </thead> <tbody> <tr> <td>Maskuliini</td> <td><code class="clozee">El</code></td> <td><code class="clozee">Los</code></td> </tr> <tr> <td>Feminiini</td> <td><code class="clozee" id="current-clozee"> ??? </code></td> <td><code class="clozee">Las</code></td> </tr> </tbody> </table> 		la	exportId1613517773345
